id,type,length,start_time,end_time,start_name,start_lat,start_lon,end_name,end_lat,end_lon
1,Internal,0.0,2023-04-23 19:29:03,2023-04-23 19:29:03,VNM,16.5,107.5,VNM,16.5,107.5
2,Internal,0.018521524589827226,2023-04-23 19:29:03,2023-04-30 13:43:58,VNM,16.5,107.5,VNM,16.5,107.5
3,Internal,0.013763084322009483,2023-04-30 13:43:58,2023-05-05 14:17:50,VNM,16.5,107.5,VNM,16.5,107.5
4,Internal,0.06895860438943646,2023-05-05 14:17:50,2023-05-30 18:22:29,VNM,16.5,107.5,VNM,16.5,107.5
5,Internal,0.024922314487808822,2023-05-30 18:22:29,2023-06-08 20:41:39,VNM,16.5,107.5,VNM,16.5,107.5
6,Internal,0.042269834080080226,2023-06-08 20:41:39,2023-06-24 06:58:40,VNM,16.5,107.5,VNM,16.5,107.5
7,External,0.06895228114673893,2023-06-24 06:58:40,2023-07-19 11:00:00,VNM,16.5,107.5,VNM,16.5,107.5
8,Internal,0.00958642475680313,2023-06-24 06:58:40,2023-06-27 18:57:18,VNM,16.5,107.5,VNM,16.5,107.5
9,Internal,0.005364690199009092,2023-06-27 18:57:18,2023-06-29 17:56:59,VNM,16.5,107.5,VNM,16.5,107.5
10,External,0.06496007030058365,2023-06-29 17:56:59,2023-07-23 11:00:00,VNM,16.5,107.5,VNM,16.5,107.5
11,External,0.05948061824564149,2023-06-29 17:56:59,2023-07-21 10:59:59,VNM,16.5,107.5,KHM,13.0,105.0
12,External,0.0593658563899358,2023-06-27 18:57:18,2023-07-19 11:00:00,VNM,16.5,107.5,VNM,16.5,107.5
13,Internal,0.0070764712237136596,2023-06-08 20:41:39,2023-06-11 10:41:02,VNM,16.5,107.5,VNM,16.5,107.5
14,Internal,0.015506491266190761,2023-06-11 10:41:02,2023-06-17 02:31:15,VNM,16.5,107.5,VNM,16.5,107.5
15,Internal,0.02025868018569371,2023-06-17 02:31:15,2023-06-24 11:59:13,VNM,16.5,107.5,KHM,13.0,105.0
16,Internal,0.033825997511236404,2023-06-24 11:59:13,2023-07-06 20:18:10,KHM,13.0,105.0,KHM,13.0,105.0
17,External,0.020855844902970287,2023-07-06 20:18:10,2023-07-14 10:59:59,KHM,13.0,105.0,KHM,13.0,105.0
18,External,0.029075022985269837,2023-07-06 20:18:10,2023-07-17 11:00:00,KHM,13.0,105.0,KHM,13.0,105.0
19,Internal,0.023485666925446062,2023-06-24 11:59:13,2023-07-03 01:43:17,KHM,13.0,105.0,KHM,13.0,105.0
20,External,0.05037425768048975,2023-07-03 01:43:17,2023-07-21 10:59:59,KHM,13.0,105.0,KHM,13.0,105.0
21,External,0.0037989152147319613,2023-07-03 01:43:17,2023-07-04 10:59:59,KHM,13.0,105.0,KHM,13.0,105.0
22,Internal,0.008925461632038958,2023-06-17 02:31:15,2023-06-20 08:42:29,VNM,16.5,107.5,VNM,16.5,107.5
23,Internal,0.006438771131428711,2023-06-20 08:42:29,2023-06-22 17:06:42,VNM,16.5,107.5,VNM,16.5,107.5
24,Internal,0.009887219928954957,2023-06-22 17:06:42,2023-06-26 07:43:25,VNM,16.5,107.5,VNM,16.5,107.5
25,Internal,0.010536727661398529,2023-06-26 07:43:25,2023-06-30 04:01:31,VNM,16.5,107.5,CHN,35.0,105.0
26,External,0.06380987649275052,2023-06-30 04:01:31,2023-07-23 11:00:00,CHN,35.0,105.0,CHN,35.0,105.0
27,External,0.06380987649275052,2023-06-30 04:01:31,2023-07-23 11:00:00,CHN,35.0,105.0,CHN,35.0,105.0
28,External,0.0661274260718495,2023-06-26 07:43:25,2023-07-20 10:59:59,VNM,16.5,107.5,VNM,16.5,107.5
29,Internal,0.014795488439316606,2023-06-22 17:06:42,2023-06-28 02:43:12,VNM,16.5,107.5,VNM,16.5,107.5
30,Internal,0.017099946384556516,2023-06-28 02:43:12,2023-07-04 08:30:56,VNM,16.5,107.5,VNM,16.5,107.5
31,External,0.030420581039917002,2023-07-04 08:30:56,2023-07-15 10:59:59,VNM,16.5,107.5,VNM,16.5,107.5
32,Internal,0.003657878476580334,2023-07-04 08:30:56,2023-07-05 16:33:31,VNM,16.5,107.5,VNM,16.5,107.5
33,External,0.03498188064563622,2023-07-05 16:33:31,2023-07-18 11:00:00,VNM,16.5,107.5,VNM,16.5,107.5
34,External,0.04868051078265055,2023-07-05 16:33:31,2023-07-23 11:00:00,VNM,16.5,107.5,LAO,18.0,105.0
35,Internal,0.01680709444247408,2023-06-28 02:43:12,2023-07-04 05:57:01,VNM,16.5,107.5,VNM,16.5,107.5
36,External,0.058110693256028106,2023-07-04 05:57:01,2023-07-25 11:00:00,VNM,16.5,107.5,THA,15.0,100.0
37,External,0.0361928850369416,2023-07-04 05:57:01,2023-07-17 11:00:00,VNM,16.5,107.5,VNM,16.5,107.5
38,External,0.046836978776132326,2023-06-20 08:42:29,2023-07-07 11:00:00,VNM,16.5,107.5,VNM,16.5,107.5
39,Internal,0.022523403536016798,2023-06-11 10:41:02,2023-06-19 15:59:21,VNM,16.5,107.5,VNM,16.5,107.5
40,External,0.0816222404670887,2023-06-19 15:59:21,2023-07-19 11:00:00,VNM,16.5,107.5,VNM,16.5,107.5
41,Internal,0.003432044844935797,2023-06-19 15:59:21,2023-06-20 22:03:13,VNM,16.5,107.5,VNM,16.5,107.5
42,Internal,0.023000271762949984,2023-06-20 22:03:13,2023-06-29 07:32:10,VNM,16.5,107.5,VNM,16.5,107.5
43,External,0.04423101974954598,2023-06-29 07:32:10,2023-07-15 10:59:59,VNM,16.5,107.5,VNM,16.5,107.5
44,External,0.06614882796885986,2023-06-29 07:32:10,2023-07-23 11:00:00,VNM,16.5,107.5,VNM,16.5,107.5
45,Internal,0.02781538641474629,2023-06-20 22:03:13,2023-07-01 01:43:00,VNM,16.5,107.5,VNM,16.5,107.5
