# BEAST v10.5.0
# Generated Thu Apr 09 12:59:51 CEST 2026 [seed=1775732390055]
# Binome_6.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	pInv	default.ucld.mean	default.ucld.stdev	location.clock.rate	default.meanRate	default.coefficientOfVariation	default.covariance	location.meanRate	location.rates.CHN.KHM	location.rates.CHN.LAO	location.rates.CHN.THA	location.rates.CHN.VNM	location.rates.KHM.LAO	location.rates.KHM.THA	location.rates.KHM.VNM	location.rates.LAO.THA	location.rates.LAO.VNM	location.rates.THA.VNM	location.indicators.CHN.KHM	location.indicators.CHN.LAO	location.indicators.CHN.THA	location.indicators.CHN.VNM	location.indicators.KHM.LAO	location.indicators.KHM.THA	location.indicators.KHM.VNM	location.indicators.LAO.THA	location.indicators.LAO.VNM	location.indicators.THA.VNM	location.nonZeroRates	default.treeLikelihood	default.branchRates	location.branchRates	location.treeLikelihood	coalescent
0	-475300.13002757	-3397.189465365683	-471902.94056220434	1.7608424531478122	2021.8008013824685	13.678345202700095	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.5	0.001	0.3333333333333333	0.001	2.612446906709574E-4	9.366923854597864	-0.01037058890067865	9.999999999999992E-4	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-470312.88441225316	-3136.17843910797	0.0	-1590.0561499511798	-242.69410524846316
100000	-113113.61885816898	-4316.812501758848	-108796.80635641013	1.3958960635737878	2022.1657477720426	96.23339482200569	31.034836285318562	0.9454843910384455	0.25735123581228214	0.2515832252803092	0.24514281502913038	0.2459227238782784	0.7378850336126991	0.7179598781610075	0.012022750243233567	0.008692054683802524	0.32857652352731453	0.011102462433077009	0.7323052715092879	0.03066482759863369	0.3285765235273143	0.7118250842723184	0.9930608408804874	0.14463595156313055	0.7754860230183545	0.47499023756327136	0.5057463395647726	1.9429446085404152	0.47971107981609407	0.7908142098261949	2.3437037433456656	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8.0	-108502.9285478943	-3136.17843910797	0.0	-293.8778085158302	-1129.8078532258066
200000	-112912.28909849396	-4253.772552951294	-108658.51654554266	1.0219339079443517	2022.539709927672	74.25752233360008	26.222663774119756	0.970129766619046	0.2531397699670727	0.24969328904028038	0.24753363534847386	0.2496333056441732	0.48770398132412573	0.009681793055439621	0.013653989749545221	0.009802930658372275	0.5022444012152187	0.012089196913833408	0.7336653265226516	0.008259139755690561	0.502244401215219	0.49244056483130516	0.38259286083991223	0.9452878504824108	0.7041071573533004	0.650549115556767	1.3486063922550358	1.3031331177924912	1.0339385226276425	0.7098473934806601	1.290725732574616	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	-108362.07462510266	-3136.17843910797	0.0	-296.44192044000647	-1059.6879267121644
300000	-112890.80816677689	-4238.591061297179	-108652.2171054797	1.033604440238052	2022.5280393953783	72.46530038280255	23.01802414424755	0.976272742501954	0.25166990700807973	0.24592554298951974	0.24648733606497694	0.25591721393742345	0.5680604740664394	0.2186943187674426	0.014307498137913412	0.01146615530465901	0.4911731475134004	0.012862247446148504	0.8228872976279918	-0.03415915984243746	0.49117314751340013	0.3881916940809041	0.676166837960028	0.17902971067139414	0.5560132210588129	0.3321791829884622	0.7295625895525912	1.3605278110656587	0.041518131881072326	0.25792668691746856	1.5530718076008097	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	-108355.62516250624	-3136.17843910797	0.0	-296.5919429734688	-1048.9018989055285
400000	-112832.96561671472	-4188.68126893294	-108644.28434778178	0.7678402233923136	2022.793803612224	61.076176051478576	19.626927708541412	0.9601963635907255	0.2580140129164202	0.2486434350698731	0.2456066695418728	0.2477358824718338	0.5178258361325584	0.0902289584223567	0.016542175766529568	0.012392763715247935	0.4823172314721418	0.015035484389888897	0.7426634613010066	-0.060241102476503675	0.4823172314721412	0.6131618249559719	0.8911393087429427	0.5708124099404599	0.688183610044474	0.6927116324571233	0.7318371964496935	1.1988761787685458	1.117016960387514	0.885842670053626	1.7220583881932312	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0	-108347.24460754763	-3136.17843910797	0.0	-297.03974023415105	-1004.123463694515
500000	-112787.02825238684	-4139.054762690493	-108647.97348969635	0.6409445750721343	2022.9206992605443	51.307639348888664	17.530298083376408	0.9910688726363974	0.24646703449878146	0.2516243570560695	0.24780013150107297	0.25410847694407596	0.5217446094219382	0.03972649425641912	0.01873427904801604	0.013810622712140624	0.5540667412977557	0.01745684183114926	0.7078644537632603	0.022856834323357687	0.5540667412977562	0.357301959422591	1.7853256136779496	0.4350966057978638	0.6942592268050222	0.5073024100136462	0.09787354885934077	1.703396561184805	0.5413534118596698	0.722448746618818	1.1298024503059796	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0	-108348.70572629657	-3136.17843910797	0.0	-299.2677633997748	-956.499923134028
600000	-112823.76054690557	-4189.590687955064	-108634.16985895051	0.7010292951105739	2022.8606145405058	58.52699326297154	21.11431087886907	0.965851614995802	0.2551784608750107	0.24898285300911085	0.24761163123514404	0.24822705488073432	0.527363007567826	0.0909882549550614	0.01650538622058321	0.011625531307006134	0.6432570544898352	0.01556759537856547	0.6641269997232656	-0.017392693415538087	0.6432570544898346	0.8283095809674621	0.5373126500776269	0.6127337121710565	1.58364606204938	1.0839195966481636	1.0616012468230862	1.2503661468362945	0.35137863500503347	0.8915809507574237	1.965089018656028	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0	-108346.63645089975	-3136.17843910797	0.0	-287.5334080507577	-995.5543986099377
700000	-112777.72243047493	-4137.797790135897	-108639.92464033903	0.6321870850591753	2022.9294567505572	50.674251132677846	15.624013645885858	0.9768091834755439	0.2557416422993152	0.24725839176566905	0.24587376621600363	0.2511261997190124	0.5065406541363322	0.005923177066797115	0.019000542496873857	0.013886331144716319	0.7117928367189454	0.01765340868122895	0.7080633983124246	-0.036701635389339515	0.7117928367189464	0.35905018825994756	0.11052302340700332	0.06745575970811737	0.6806471742632887	0.6236842112768328	0.7037805517093956	0.7834138315662739	0.26501734312022945	0.4943599141369218	0.8247576975526665	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0	-108349.34928180468	-3136.17843910797	0.0	-290.57535853435286	-950.6685139879088
800000	-112728.25557294866	-4107.481488176869	-108620.7740847718	0.5507211216037683	2023.0109227140126	43.46902861067754	12.45789132759682	0.9713394207517336	0.25602240416919203	0.2464026474731169	0.2464802607448072	0.2510946876128841	0.4890076211402182	0.08748349270781665	0.022381689236322003	0.016256984500241697	0.8229926749098895	0.02108620503327874	0.6908980336167088	-0.021290943863939895	0.82299267490989	0.8678240272234585	0.3551309450251635	0.565324700685	1.1837387951270757	0.8531503454466821	0.11740670036977703	3.4824286349799127	0.9421434839454877	0.9881017269978144	2.5451370716260318	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-108331.59936963298	-3136.17843910797	0.0	-289.1747151388093	-909.4665353270711
900000	-112655.49555163317	-4013.062391047874	-108642.4331605853	0.42957034044222553	2023.1320734951742	32.75727555940741	10.078849270343518	0.9917792299625523	0.25043583174562783	0.2497116556291714	0.2488201439153647	0.25103236870983653	0.5249685983803405	0.10665990892973627	0.02846400529933315	0.020964918301028933	0.9402609300826633	0.027638300417954835	0.6935991163369348	-0.03629304427665635	0.9402609300826638	0.4990528338821345	1.2284712851614592	1.037815706254196	1.4757875284437971	0.8745330726500371	0.11011091517344336	1.6796720248463544	0.3604987796987068	0.8555531364304112	2.106980176873202	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0	-108351.18300993791	-3136.17843910797	0.0	-291.25015064738017	-825.5194464121014
1000000	-112646.76797969837	-4015.0362980023388	-108631.73168169604	0.4243700866979764	2023.1372737489185	32.87618035706071	9.820306031821092	0.9706307213543776	0.25366947832614123	0.2514731475128026	0.2455394238611527	0.24931795029990403	0.5163349910847234	0.03714471684334137	0.028157871200101412	0.020838993611594064	0.8417542446034251	0.027339582128757433	0.6645134531445539	0.02733906220775801	0.8417542446034245	0.5818163270947753	3.1291523975768882	0.44966112926215585	1.2364436804182775	0.8057954341684752	0.2629241415778748	1.534550737397585	2.3663123559172887	0.6841869127961442	2.3189555841739002	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0	-108339.29535667787	-3136.17843910797	0.0	-292.43632501816006	-827.6011582290629
1100000	-112634.29547592216	-3990.398534717391	-108643.89694120477	0.38862545333980053	2023.1730183822767	29.90314597655848	8.803537516329602	0.9945204921974212	0.25807279036350317	0.24634004062083584	0.24519104301270017	0.2503961260029614	0.5578309751001693	0.10810035315069419	0.03320060995683361	0.02436050914460553	1.1841414669102226	0.03144999268821708	0.6872453300096913	0.03850440037944034	1.184141466910223	0.4427199402935618	0.5651431328745644	0.2888809400918335	0.9705077480501675	0.7054560602797739	0.5374286766648312	1.8608520810470681	0.36045287248022345	1.2384539242394166	2.787202095448228	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0	-108354.69919424047	-3136.17843910797	0.0	-289.1977469643077	-798.433499039012
