# BEAST v10.5.0
# Generated Thu Apr 09 12:59:51 CEST 2026 [seed=1775732390055]
# Binome_6.xml
state	location.rates.CHN.KHM	location.rates.CHN.LAO	location.rates.CHN.THA	location.rates.CHN.VNM	location.rates.KHM.LAO	location.rates.KHM.THA	location.rates.KHM.VNM	location.rates.LAO.THA	location.rates.LAO.VNM	location.rates.THA.VNM	location.indicators.CHN.KHM	location.indicators.CHN.LAO	location.indicators.CHN.THA	location.indicators.CHN.VNM	location.indicators.KHM.LAO	location.indicators.KHM.THA	location.indicators.KHM.VNM	location.indicators.LAO.THA	location.indicators.LAO.VNM	location.indicators.THA.VNM	location.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0
100000	0.7118250842723184	0.9930608408804874	0.14463595156313055	0.7754860230183545	0.47499023756327136	0.5057463395647726	1.9429446085404152	0.47971107981609407	0.7908142098261949	2.3437037433456656	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8.0
200000	0.49244056483130516	0.38259286083991223	0.9452878504824108	0.7041071573533004	0.650549115556767	1.3486063922550358	1.3031331177924912	1.0339385226276425	0.7098473934806601	1.290725732574616	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
300000	0.3881916940809041	0.676166837960028	0.17902971067139414	0.5560132210588129	0.3321791829884622	0.7295625895525912	1.3605278110656587	0.041518131881072326	0.25792668691746856	1.5530718076008097	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
400000	0.6131618249559719	0.8911393087429427	0.5708124099404599	0.688183610044474	0.6927116324571233	0.7318371964496935	1.1988761787685458	1.117016960387514	0.885842670053626	1.7220583881932312	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0
500000	0.357301959422591	1.7853256136779496	0.4350966057978638	0.6942592268050222	0.5073024100136462	0.09787354885934077	1.703396561184805	0.5413534118596698	0.722448746618818	1.1298024503059796	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0
600000	0.8283095809674621	0.5373126500776269	0.6127337121710565	1.58364606204938	1.0839195966481636	1.0616012468230862	1.2503661468362945	0.35137863500503347	0.8915809507574237	1.965089018656028	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0
700000	0.35905018825994756	0.11052302340700332	0.06745575970811737	0.6806471742632887	0.6236842112768328	0.7037805517093956	0.7834138315662739	0.26501734312022945	0.4943599141369218	0.8247576975526665	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0
800000	0.8678240272234585	0.3551309450251635	0.565324700685	1.1837387951270757	0.8531503454466821	0.11740670036977703	3.4824286349799127	0.9421434839454877	0.9881017269978144	2.5451370716260318	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0
900000	0.4990528338821345	1.2284712851614592	1.037815706254196	1.4757875284437971	0.8745330726500371	0.11011091517344336	1.6796720248463544	0.3604987796987068	0.8555531364304112	2.106980176873202	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0
1000000	0.5818163270947753	3.1291523975768882	0.44966112926215585	1.2364436804182775	0.8057954341684752	0.2629241415778748	1.534550737397585	2.3663123559172887	0.6841869127961442	2.3189555841739002	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0
1100000	0.4427199402935618	0.5651431328745644	0.2888809400918335	0.9705077480501675	0.7054560602797739	0.5374286766648312	1.8608520810470681	0.36045287248022345	1.2384539242394166	2.787202095448228	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0
1200000	0.5705975354108634	3.1352551712692143	0.2745404417053842	0.8293249333417994	0.1706475811743583	0.3411610673628231	1.7101903988729776	1.7846004655808607	0.6257505270855916	1.1010328890401704	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0
1300000	0.6404492557707891	0.036931659320570145	0.5831624624044223	1.7255237011317137	1.947400796459984	1.8159419731380728	1.739683946176809	1.033113454952564	1.3490644808955916	3.3684477321893227	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0
